Time,Altitude,OrientationX,OrientationY,OrientationZ
0.0,0.0,0.0,0.0,0.0
0.0,8.962738,4.041398,-0.20898557,-0.32054043
1.0,14.007414,5.7643137,0.44898129,-0.7018765
2.0,18.42229,8.343922,0.026991606,-1.5984455
3.0,24.45819,18.171745,-0.5849072,-1.3517711
4.0,34.40524,25.192192,-0.88571095,-1.3679687
5.0,43.198383,26.784063,-0.17003751,-2.2777963
6.0,51.872597,35.28884,0.75512445,-3.1161048
7.0,61.43062,35.66859,1.604662,-2.4704804
8.0,65.16685,35.956524,1.8297254,-3.4470625
9.0,68.869934,43.789318,2.2890248,-3.0152833
10.0,71.83833,50.831043,3.0237224,-2.847951
11.0,74.82165,55.94797,3.430883,-2.1922965
12.0,79.92029,64.34898,3.5548034,-2.3686848
13.0,88.726776,64.43923,3.2837176,-1.9537729
14.0,94.70736,68.712555,4.012473,-2.0455666
15.0,96.215385,69.14767,3.1963596,-1.2175971
16.0,101.05666,71.14491,2.5425448,-2.1199567
17.0,106.426155,71.95714,1.8827977,-2.8687286
18.0,109.40008,78.89724,1.7573582,-2.8258123
19.0,114.9431,81.00213,1.7766122,-3.021316
20.0,121.44619,85.529755,2.575897,-2.6156816
21.0,124.6865,87.18957,1.58348,-2.401991
22.0,133.06894,90.11673,1.7745215,-3.3360627
23.0,133.99908,96.879135,1.8965601,-2.3505971
24.0,136.67555,102.58629,2.5515864,-1.4000281
25.0,139.51343,-10.0,2.824105,-2.2834115
26.0,148.52606,-10.0,2.7789707,-2.9242241
27.0,149.88889,-10.0,3.7490926,-2.1902428
28.0,157.71887,-10.0,4.6170683,-1.4066076
29.0,166.89255,-10.0,4.8305693,-1.9402732
30.0,170.77913,-10.0,3.9035993,-1.0669967
31.0,175.6407,-10.0,4.590231,-1.556921
32.0,180.17657,-10.0,5.336604,-1.650716
33.0,188.6231,-10.0,4.880665,-1.7905768
34.0,193.69226,-10.0,5.6846128,-1.1089957
35.0,203.27132,-10.0,5.2189083,-0.5787822
36.0,209.84724,-10.0,4.780323,-1.4683071
37.0,212.60965,-10.0,3.7970748,-0.7672024
38.0,220.25418,-10.0,3.8154092,-0.056310415
39.0,228.18335,-10.0,3.8978834,-0.19976628
40.0,229.21594,-10.0,4.6332135,-1.1010596
41.0,231.41252,-10.0,4.5464153,-0.38458002
42.0,239.87253,-10.0,5.489714,0.2546041
43.0,243.15393,-10.0,6.327683,0.22501111
44.0,245.43454,-10.0,6.4696646,-0.62069297
45.0,253.8479,-10.0,6.453888,-0.46803606
46.0,255.0859,-10.0,5.4752693,-1.4344072
47.0,264.8571,-10.0,6.3782845,-1.3978143
48.0,267.77374,-10.0,5.930321,-0.96830165
49.0,277.47247,-10.0,6.6559057,-0.42031837
50.0,286.7913,-10.0,6.6423063,-0.23829031
51.0,292.84674,-10.0,6.7930994,-0.092609406
52.0,298.37463,-10.0,6.0025644,0.4698881
53.0,299.29547,-10.0,6.459708,1.4401926
54.0,307.5979,-10.0,6.716822,0.72455084
55.0,316.61255,-10.0,7.303174,0.46719205
56.0,316.78253,-10.0,6.5421844,0.50836873
57.0,322.98367,-10.0,6.2250233,1.1789753
58.0,323.96756,-10.0,6.9063816,1.398914
59.0,326.48007,-10.0,5.9457645,1.007012
60.0,335.12512,-10.0,6.1804333,1.6313516
61.0,343.66,-10.0,6.836695,2.4874096
62.0,345.45132,-10.0,6.36915,3.3294766
63.0,348.07623,-10.0,6.620417,2.9338264
64.0,350.65576,-10.0,7.5875244,3.144023
65.0,359.89603,-10.0,7.548862,2.8692377
66.0,367.33423,-10.0,8.015179,3.5450325
67.0,371.56897,-10.0,8.787541,4.4764795
68.0,379.465,-10.0,8.460873,5.2867947
69.0,380.4132,-10.0,7.7007484,4.321899
70.0,385.10278,-10.0,8.592585,3.3277404
71.0,389.66696,-10.0,8.469085,3.1870697
72.0,393.22495,-10.0,9.323909,3.928985
73.0,394.08505,-10.0,10.28145,3.213338
74.0,399.10574,-10.0,10.170219,2.8538108
75.0,406.18146,-10.0,10.098384,2.6640427
76.0,413.61697,-10.0,10.009119,3.4581108
77.0,419.82388,-10.0,9.306161,3.5565906
78.0,429.33316,-10.0,9.732625,3.6800954
79.0,433.55756,-10.0,9.0365,3.9413648
80.0,440.3572,-10.0,8.307135,4.894805
81.0,441.59326,-10.0,9.209251,5.487734
82.0,447.14926,-10.0,9.4027,5.328144
83.0,456.9268,-10.0,9.475476,5.5484505
84.0,462.2244,-10.0,9.442165,4.841241
85.0,466.8555,-10.0,9.710314,4.207612
86.0,476.82153,-10.0,10.552315,3.5334573
87.0,477.66562,-10.0,10.73478,4.5323963
88.0,479.9606,-10.0,10.532825,4.3629017
89.0,487.99945,-10.0,10.617844,3.7041476
90.0,488.55167,-10.0,11.501326,3.83288
91.0,494.91727,-10.0,11.37595,3.4974735
92.0,499.10907,-10.0,10.766529,3.059516
93.0,499.4405,-10.0,10.551579,3.9800038
94.0,500.1753,-10.0,11.3909445,4.807376
95.0,502.7962,-10.0,11.861935,5.7068577
96.0,503.52295,-10.0,12.404994,6.151086
97.0,511.89807,-10.0,12.338709,6.019902
98.0,520.51227,-10.0,12.898207,6.230777
99.0,527.7938,-10.0,13.421984,5.2580976
100.0,530.1743,-10.0,12.698153,5.1390233
101.0,533.5816,-10.0,12.621094,5.0929556
102.0,537.2648,-10.0,12.484417,4.3474946
103.0,538.9952,-10.0,12.100036,4.036952
104.0,546.76697,-10.0,13.063765,3.2506382
105.0,549.4067,-10.0,12.750525,3.9480457
106.0,550.1281,-10.0,13.591906,3.2636824
107.0,556.84375,-10.0,13.41456,3.323904
108.0,559.2546,-10.0,14.240391,3.1874537
109.0,567.6674,-10.0,15.096552,2.7744753
110.0,569.1482,-10.0,14.370126,3.7368436
111.0,578.1104,-10.0,13.3905115,3.3238964
112.0,580.44226,-10.0,13.292014,2.4241576
113.0,582.5591,-10.0,14.196899,2.2158968
114.0,583.07806,-10.0,13.874245,2.2385125
115.0,589.17737,-10.0,14.689683,2.2626352
116.0,597.1522,-10.0,15.083599,2.19537
117.0,604.32874,-10.0,14.493717,2.9928498
118.0,606.3122,-10.0,13.98671,3.7932682
119.0,610.4967,-10.0,14.914102,3.7921805
120.0,615.7128,-10.0,15.908129,4.1118593
121.0,620.37726,-10.0,16.469921,4.558147
122.0,629.6462,-10.0,17.314964,5.515088
123.0,635.86554,-10.0,16.638323,5.02446
